session,trial,feedback_common,variable_magnitude,n_confusing,fifty_high,block,valence,feedback_high,feedback_low,feedback_optimal,feedback_suboptimal,pair,stimulus_A,stimulus_B,optimal_A,A_on_right,stimulus_right,stimulus_left,optimal_right,feedback_right,feedback_left,n_stimuli,n_groups,stimulus_group,stimulus_group_id,stimulus_middle,feedback_middle,optimal_side,present_pavlovian,early_stop
1,1,true,1.0,0,true,1,1,1.0,0.01,1.0,0.01,1,swimming_pool1.jpg,chickpea2.jpg,false,false,chickpea2.jpg,swimming_pool1.jpg,true,1.0,0.01,2,1,1,1,,,,true,false
1,2,true,1.0,0,true,1,1,1.0,0.01,1.0,0.01,1,swimming_pool1.jpg,chickpea2.jpg,false,false,chickpea2.jpg,swimming_pool1.jpg,true,1.0,0.01,2,1,1,1,,,,true,false
1,3,true,1.0,0,true,1,1,1.0,0.01,1.0,0.01,1,swimming_pool1.jpg,chickpea2.jpg,false,false,chickpea2.jpg,swimming_pool1.jpg,true,1.0,0.01,2,1,1,1,,,,true,false
1,4,true,0.5,0,true,1,1,0.5,0.01,0.5,0.01,1,swimming_pool1.jpg,chickpea2.jpg,false,true,swimming_pool1.jpg,chickpea2.jpg,false,0.01,0.5,2,1,1,1,,,,true,false
1,5,true,1.0,0,true,1,1,1.0,0.01,1.0,0.01,1,swimming_pool1.jpg,chickpea2.jpg,false,true,swimming_pool1.jpg,chickpea2.jpg,false,0.01,1.0,2,1,1,1,,,,true,false
1,6,true,1.0,0,true,1,1,1.0,0.01,1.0,0.01,1,swimming_pool1.jpg,chickpea2.jpg,false,false,chickpea2.jpg,swimming_pool1.jpg,true,1.0,0.01,2,1,1,1,,,,true,false
1,7,true,1.0,0,true,1,1,1.0,0.01,1.0,0.01,1,swimming_pool1.jpg,chickpea2.jpg,false,true,swimming_pool1.jpg,chickpea2.jpg,false,0.01,1.0,2,1,1,1,,,,true,false
1,8,true,1.0,0,true,1,1,1.0,0.01,1.0,0.01,1,swimming_pool1.jpg,chickpea2.jpg,false,true,swimming_pool1.jpg,chickpea2.jpg,false,0.01,1.0,2,1,1,1,,,,true,false
1,9,true,0.5,0,true,1,1,0.5,0.01,0.5,0.01,1,swimming_pool1.jpg,chickpea2.jpg,false,true,swimming_pool1.jpg,chickpea2.jpg,false,0.01,0.5,2,1,1,1,,,,true,false
1,10,true,1.0,0,true,1,1,1.0,0.01,1.0,0.01,1,swimming_pool1.jpg,chickpea2.jpg,false,false,chickpea2.jpg,swimming_pool1.jpg,true,1.0,0.01,2,1,1,1,,,,true,false
1,1,true,1.0,0,true,2,-1,-0.01,-1.0,-0.01,-1.0,1,syringe1.jpg,swimming_pool2.jpg,true,false,swimming_pool2.jpg,syringe1.jpg,false,-1.0,-0.01,2,1,1,2,,,,true,false
1,2,true,1.0,0,true,2,-1,-0.01,-1.0,-0.01,-1.0,1,syringe1.jpg,swimming_pool2.jpg,true,true,syringe1.jpg,swimming_pool2.jpg,true,-0.01,-1.0,2,1,1,2,,,,true,false
1,3,true,1.0,0,true,2,-1,-0.01,-1.0,-0.01,-1.0,1,syringe1.jpg,swimming_pool2.jpg,true,false,swimming_pool2.jpg,syringe1.jpg,false,-1.0,-0.01,2,1,1,2,,,,true,false
1,4,true,1.0,0,true,2,-1,-0.01,-1.0,-0.01,-1.0,1,syringe1.jpg,swimming_pool2.jpg,true,true,syringe1.jpg,swimming_pool2.jpg,true,-0.01,-1.0,2,1,1,2,,,,true,false
1,5,true,0.5,0,true,2,-1,-0.01,-0.5,-0.01,-0.5,1,syringe1.jpg,swimming_pool2.jpg,true,true,syringe1.jpg,swimming_pool2.jpg,true,-0.01,-0.5,2,1,1,2,,,,true,false
1,6,true,1.0,0,true,2,-1,-0.01,-1.0,-0.01,-1.0,1,syringe1.jpg,swimming_pool2.jpg,true,false,swimming_pool2.jpg,syringe1.jpg,false,-1.0,-0.01,2,1,1,2,,,,true,false
1,7,true,1.0,0,true,2,-1,-0.01,-1.0,-0.01,-1.0,1,syringe1.jpg,swimming_pool2.jpg,true,true,syringe1.jpg,swimming_pool2.jpg,true,-0.01,-1.0,2,1,1,2,,,,true,false
1,8,true,1.0,0,true,2,-1,-0.01,-1.0,-0.01,-1.0,1,syringe1.jpg,swimming_pool2.jpg,true,false,swimming_pool2.jpg,syringe1.jpg,false,-1.0,-0.01,2,1,1,2,,,,true,false
1,9,true,0.5,0,true,2,-1,-0.01,-0.5,-0.01,-0.5,1,syringe1.jpg,swimming_pool2.jpg,true,true,syringe1.jpg,swimming_pool2.jpg,true,-0.01,-0.5,2,1,1,2,,,,true,false
1,10,true,1.0,0,true,2,-1,-0.01,-1.0,-0.01,-1.0,1,syringe1.jpg,swimming_pool2.jpg,true,false,swimming_pool2.jpg,syringe1.jpg,false,-1.0,-0.01,2,1,1,2,,,,true,false
1,1,true,1.0,0,true,3,1,1.0,0.01,1.0,0.01,1,wok1.jpg,syringe2.jpg,true,true,wok1.jpg,syringe2.jpg,true,1.0,0.01,2,1,1,3,,,,true,false
1,2,true,1.0,0,true,3,1,1.0,0.01,1.0,0.01,1,wok1.jpg,syringe2.jpg,true,false,syringe2.jpg,wok1.jpg,false,0.01,1.0,2,1,1,3,,,,true,false
1,3,true,1.0,0,true,3,1,1.0,0.01,1.0,0.01,1,wok1.jpg,syringe2.jpg,true,false,syringe2.jpg,wok1.jpg,false,0.01,1.0,2,1,1,3,,,,true,false
1,4,true,0.5,0,true,3,1,0.5,0.01,0.5,0.01,1,wok1.jpg,syringe2.jpg,true,false,syringe2.jpg,wok1.jpg,false,0.01,0.5,2,1,1,3,,,,true,false
1,5,true,1.0,0,true,3,1,1.0,0.01,1.0,0.01,1,wok1.jpg,syringe2.jpg,true,false,syringe2.jpg,wok1.jpg,false,0.01,1.0,2,1,1,3,,,,true,false
1,6,true,1.0,0,true,3,1,1.0,0.01,1.0,0.01,1,wok1.jpg,syringe2.jpg,true,false,syringe2.jpg,wok1.jpg,false,0.01,1.0,2,1,1,3,,,,true,false
1,7,true,1.0,0,true,3,1,1.0,0.01,1.0,0.01,1,wok1.jpg,syringe2.jpg,true,true,wok1.jpg,syringe2.jpg,true,1.0,0.01,2,1,1,3,,,,true,false
1,8,true,0.5,0,true,3,1,0.5,0.01,0.5,0.01,1,wok1.jpg,syringe2.jpg,true,true,wok1.jpg,syringe2.jpg,true,0.5,0.01,2,1,1,3,,,,true,false
1,9,true,1.0,0,true,3,1,1.0,0.01,1.0,0.01,1,wok1.jpg,syringe2.jpg,true,true,wok1.jpg,syringe2.jpg,true,1.0,0.01,2,1,1,3,,,,true,false
1,10,true,1.0,0,true,3,1,1.0,0.01,1.0,0.01,1,wok1.jpg,syringe2.jpg,true,true,wok1.jpg,syringe2.jpg,true,1.0,0.01,2,1,1,3,,,,true,false
1,1,false,0.5,1,true,4,1,0.5,0.01,0.01,0.5,1,screwdriver1.jpg,wok2.jpg,true,true,screwdriver1.jpg,wok2.jpg,true,0.01,0.5,2,1,1,4,,,,true,false
1,2,true,0.5,1,true,4,1,0.5,0.01,0.5,0.01,1,screwdriver1.jpg,wok2.jpg,true,true,screwdriver1.jpg,wok2.jpg,true,0.5,0.01,2,1,1,4,,,,true,false
1,3,true,1.0,1,true,4,1,1.0,0.01,1.0,0.01,1,screwdriver1.jpg,wok2.jpg,true,true,screwdriver1.jpg,wok2.jpg,true,1.0,0.01,2,1,1,4,,,,true,false
1,4,true,1.0,1,true,4,1,1.0,0.01,1.0,0.01,1,screwdriver1.jpg,wok2.jpg,true,true,screwdriver1.jpg,wok2.jpg,true,1.0,0.01,2,1,1,4,,,,true,false
1,5,true,1.0,1,true,4,1,1.0,0.01,1.0,0.01,1,screwdriver1.jpg,wok2.jpg,true,false,wok2.jpg,screwdriver1.jpg,false,0.01,1.0,2,1,1,4,,,,true,false
1,6,true,1.0,1,true,4,1,1.0,0.01,1.0,0.01,1,screwdriver1.jpg,wok2.jpg,true,false,wok2.jpg,screwdriver1.jpg,false,0.01,1.0,2,1,1,4,,,,true,false
1,7,true,1.0,1,true,4,1,1.0,0.01,1.0,0.01,1,screwdriver1.jpg,wok2.jpg,true,false,wok2.jpg,screwdriver1.jpg,false,0.01,1.0,2,1,1,4,,,,true,false
1,8,true,1.0,1,true,4,1,1.0,0.01,1.0,0.01,1,screwdriver1.jpg,wok2.jpg,true,true,screwdriver1.jpg,wok2.jpg,true,1.0,0.01,2,1,1,4,,,,true,false
